year,Karren
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,11
1937,8
1938,7
1939,20
1940,33
1941,51
1942,90
1943,100
1944,84
1945,66
1946,76
1947,76
1948,68
1949,54
1950,49
1951,40
1952,51
1953,73
1954,39
1955,43
1956,59
1957,53
1958,61
1959,57
1960,67
1961,63
1962,44
1963,70
1964,59
1965,53
1966,56
1967,52
1968,33
1969,35
1970,41
1971,29
1972,15
1973,16
1974,14
1975,20
1976,21
1977,11
1978,12
1979,15
1980,17
1981,11
1982,14
1983,8
1984,7
1985,8
1986,8
1987,9
1988,9
1989,0
1990,7
1991,9
1992,6
1993,7
1994,5
1995,8
1996,6
1997,5
1998,0
1999,0
2000,5
2001,10
2002,0
2003,6
2004,0
2005,0
2006,0
2007,0
2008,5
2009,0
2010,7
2011,0
2012,0
