year,Kela
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,7
1951,5
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,6
1959,0
1960,5
1961,5
1962,0
1963,8
1964,7
1965,10
1966,6
1967,8
1968,5
1969,13
1970,17
1971,21
1972,15
1973,22
1974,15
1975,27
1976,21
1977,23
1978,21
1979,28
1980,19
1981,23
1982,24
1983,17
1984,16
1985,25
1986,16
1987,17
1988,23
1989,31
1990,27
1991,19
1992,21
1993,27
1994,32
1995,22
1996,21
1997,28
1998,20
1999,22
2000,25
2001,14
2002,19
2003,15
2004,14
2005,15
2006,9
2007,12
2008,10
2009,7
2010,0
2011,6
2012,0
