year,Kimberlie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,10
1953,14
1954,18
1955,37
1956,55
1957,59
1958,63
1959,64
1960,76
1961,87
1962,97
1963,103
1964,109
1965,134
1966,130
1967,118
1968,140
1969,130
1970,147
1971,122
1972,115
1973,115
1974,113
1975,85
1976,82
1977,68
1978,71
1979,73
1980,59
1981,58
1982,45
1983,41
1984,37
1985,62
1986,50
1987,39
1988,42
1989,45
1990,47
1991,49
1992,46
1993,50
1994,37
1995,26
1996,41
1997,45
1998,27
1999,33
2000,22
2001,28
2002,18
2003,24
2004,22
2005,23
2006,21
2007,16
2008,22
2009,14
2010,16
2011,14
2012,20
