year,Kittie
1880,38
1881,24
1882,40
1883,35
1884,40
1885,49
1886,38
1887,53
1888,54
1889,63
1890,44
1891,39
1892,49
1893,31
1894,42
1895,33
1896,29
1897,30
1898,32
1899,29
1900,34
1901,30
1902,19
1903,17
1904,22
1905,22
1906,18
1907,23
1908,21
1909,20
1910,16
1911,15
1912,27
1913,21
1914,30
1915,19
1916,41
1917,29
1918,30
1919,36
1920,38
1921,29
1922,34
1923,20
1924,29
1925,27
1926,31
1927,19
1928,21
1929,23
1930,15
1931,18
1932,22
1933,16
1934,17
1935,16
1936,17
1937,24
1938,15
1939,23
1940,13
1941,19
1942,24
1943,24
1944,24
1945,18
1946,31
1947,35
1948,23
1949,24
1950,15
1951,20
1952,19
1953,21
1954,32
1955,33
1956,26
1957,27
1958,28
1959,18
1960,14
1961,14
1962,15
1963,22
1964,13
1965,18
1966,8
1967,9
1968,9
1969,13
1970,9
1971,10
1972,6
1973,13
1974,10
1975,7
1976,6
1977,8
1978,7
1979,5
1980,9
1981,6
1982,7
1983,6
1984,0
1985,7
1986,0
1987,0
1988,6
1989,0
1990,0
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
