year,Kinsey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,6
1918,6
1919,0
1920,0
1921,0
1922,0
1923,5
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,5
1935,0
1936,0
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,7
1953,7
1954,0
1955,5
1956,0
1957,0
1958,0
1959,5
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,5
1967,0
1968,5
1969,0
1970,5
1971,0
1972,0
1973,0
1974,0
1975,8
1976,7
1977,17
1978,40
1979,42
1980,37
1981,77
1982,61
1983,79
1984,72
1985,73
1986,72
1987,91
1988,86
1989,102
1990,140
1991,175
1992,206
1993,198
1994,200
1995,202
1996,216
1997,187
1998,255
1999,242
2000,263
2001,270
2002,214
2003,234
2004,234
2005,256
2006,294
2007,292
2008,249
2009,259
2010,279
2011,319
2012,247
