year,Kip
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,8
1936,0
1937,0
1938,6
1939,12
1940,15
1941,10
1942,15
1943,26
1944,27
1945,42
1946,57
1947,61
1948,66
1949,68
1950,93
1951,95
1952,99
1953,110
1954,128
1955,196
1956,213
1957,217
1958,193
1959,162
1960,176
1961,179
1962,238
1963,269
1964,341
1965,431
1966,314
1967,295
1968,254
1969,212
1970,185
1971,168
1972,149
1973,150
1974,144
1975,117
1976,119
1977,98
1978,116
1979,103
1980,125
1981,126
1982,98
1983,67
1984,104
1985,80
1986,54
1987,56
1988,70
1989,55
1990,62
1991,68
1992,56
1993,38
1994,44
1995,44
1996,41
1997,32
1998,37
1999,32
2000,27
2001,25
2002,30
2003,30
2004,18
2005,25
2006,30
2007,23
2008,24
2009,22
2010,21
2011,21
2012,34
