year,Kieth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,5
1917,0
1918,10
1919,12
1920,11
1921,18
1922,10
1923,19
1924,10
1925,17
1926,15
1927,18
1928,25
1929,11
1930,13
1931,18
1932,23
1933,19
1934,15
1935,25
1936,19
1937,14
1938,23
1939,19
1940,20
1941,16
1942,25
1943,19
1944,29
1945,24
1946,28
1947,29
1948,20
1949,32
1950,34
1951,35
1952,42
1953,26
1954,31
1955,44
1956,48
1957,56
1958,54
1959,65
1960,58
1961,61
1962,54
1963,82
1964,89
1965,59
1966,61
1967,72
1968,66
1969,49
1970,65
1971,71
1972,57
1973,61
1974,58
1975,60
1976,49
1977,49
1978,50
1979,38
1980,35
1981,38
1982,38
1983,28
1984,24
1985,37
1986,21
1987,34
1988,31
1989,34
1990,26
1991,35
1992,25
1993,17
1994,21
1995,15
1996,18
1997,12
1998,9
1999,10
2000,8
2001,0
2002,8
2003,0
2004,0
2005,9
2006,6
2007,16
2008,8
2009,5
2010,7
2011,0
2012,0
