year,Kim (F),Kim (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000006
1914,0.000004,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000000
1917,0.000002,0.000000
1918,0.000000,0.000002
1919,0.000000,0.000000
1920,0.000002,0.000000
1921,0.000000,0.000003
1922,0.000000,0.000004
1923,0.000003,0.000003
1924,0.000004,0.000003
1925,0.000003,0.000000
1926,0.000004,0.000004
1927,0.000003,0.000004
1928,0.000000,0.000003
1929,0.000006,0.000004
1930,0.000004,0.000003
1931,0.000008,0.000005
1932,0.000007,0.000010
1933,0.000007,0.000012
1934,0.000008,0.000012
1935,0.000010,0.000011
1936,0.000013,0.000024
1937,0.000012,0.000027
1938,0.000015,0.000018
1939,0.000015,0.000024
1940,0.000013,0.000029
1941,0.000016,0.000022
1942,0.000021,0.000032
1943,0.000021,0.000037
1944,0.000031,0.000050
1945,0.000029,0.000071
1946,0.000059,0.000127
1947,0.000071,0.000148
1948,0.000069,0.000148
1949,0.000072,0.000183
1950,0.000081,0.000227
1951,0.000155,0.000400
1952,0.000340,0.000619
1953,0.000453,0.000666
1954,0.000738,0.000795
1955,0.001416,0.000871
1956,0.002400,0.000716
1957,0.002721,0.000471
1958,0.002578,0.000318
1959,0.002790,0.000266
1960,0.003002,0.000279
1961,0.002746,0.000266
1962,0.002888,0.000227
1963,0.002697,0.000214
1964,0.002568,0.000200
1965,0.002780,0.000168
1966,0.002646,0.000158
1967,0.002180,0.000134
1968,0.001802,0.000121
1969,0.001567,0.000104
1970,0.001310,0.000088
1971,0.001074,0.000077
1972,0.000872,0.000070
1973,0.000727,0.000061
1974,0.000637,0.000053
1975,0.000490,0.000054
1976,0.000412,0.000045
1977,0.000341,0.000041
1978,0.000258,0.000039
1979,0.000235,0.000034
1980,0.000175,0.000033
1981,0.000155,0.000032
1982,0.000133,0.000027
1983,0.000116,0.000026
1984,0.000111,0.000026
1985,0.000098,0.000026
1986,0.000079,0.000023
1987,0.000077,0.000021
1988,0.000068,0.000024
1989,0.000067,0.000019
1990,0.000065,0.000016
1991,0.000053,0.000015
1992,0.000047,0.000012
1993,0.000049,0.000010
1994,0.000043,0.000012
1995,0.000037,0.000008
1996,0.000036,0.000013
1997,0.000030,0.000006
1998,0.000028,0.000007
1999,0.000036,0.000008
2000,0.000031,0.000005
2001,0.000027,0.000007
2002,0.000030,0.000004
2003,0.000022,0.000004
2004,0.000024,0.000005
2005,0.000019,0.000003
2006,0.000022,0.000003
2007,0.000026,0.000003
2008,0.000016,0.000002
2009,0.000013,0.000004
2010,0.000014,0.000002
2011,0.000014,0.000002
2012,0.000025,0.000002
