year,King (F),King (M)
1880,0.000000,0.000134
1881,0.000000,0.000104
1882,0.000000,0.000117
1883,0.000000,0.000101
1884,0.000000,0.000103
1885,0.000000,0.000104
1886,0.000000,0.000090
1887,0.000000,0.000053
1888,0.000000,0.000090
1889,0.000000,0.000073
1890,0.000000,0.000070
1891,0.000000,0.000045
1892,0.000000,0.000078
1893,0.000000,0.000071
1894,0.000000,0.000059
1895,0.000000,0.000068
1896,0.000000,0.000067
1897,0.000000,0.000092
1898,0.000000,0.000071
1899,0.000000,0.000068
1900,0.000000,0.000073
1901,0.000000,0.000043
1902,0.000000,0.000075
1903,0.000000,0.000050
1904,0.000000,0.000059
1905,0.000000,0.000057
1906,0.000000,0.000065
1907,0.000000,0.000080
1908,0.000000,0.000076
1909,0.000000,0.000061
1910,0.000000,0.000080
1911,0.000000,0.000050
1912,0.000000,0.000073
1913,0.000000,0.000051
1914,0.000000,0.000052
1915,0.000000,0.000061
1916,0.000000,0.000053
1917,0.000000,0.000045
1918,0.000000,0.000041
1919,0.000000,0.000057
1920,0.000000,0.000048
1921,0.000000,0.000042
1922,0.000000,0.000050
1923,0.000000,0.000043
1924,0.000000,0.000046
1925,0.000000,0.000041
1926,0.000000,0.000049
1927,0.000000,0.000037
1928,0.000000,0.000036
1929,0.000002,0.000043
1930,0.000000,0.000041
1931,0.000000,0.000034
1932,0.000000,0.000032
1933,0.000000,0.000039
1934,0.000000,0.000044
1935,0.000000,0.000032
1936,0.000000,0.000034
1937,0.000000,0.000040
1938,0.000000,0.000041
1939,0.000000,0.000039
1940,0.000000,0.000033
1941,0.000000,0.000029
1942,0.000000,0.000038
1943,0.000000,0.000030
1944,0.000000,0.000030
1945,0.000000,0.000030
1946,0.000000,0.000024
1947,0.000000,0.000022
1948,0.000000,0.000024
1949,0.000000,0.000023
1950,0.000000,0.000025
1951,0.000000,0.000022
1952,0.000000,0.000024
1953,0.000000,0.000016
1954,0.000000,0.000019
1955,0.000000,0.000017
1956,0.000000,0.000014
1957,0.000000,0.000015
1958,0.000000,0.000013
1959,0.000000,0.000014
1960,0.000000,0.000013
1961,0.000000,0.000008
1962,0.000000,0.000015
1963,0.000000,0.000011
1964,0.000001,0.000020
1965,0.000000,0.000012
1966,0.000000,0.000011
1967,0.000000,0.000011
1968,0.000000,0.000012
1969,0.000000,0.000008
1970,0.000000,0.000009
1971,0.000000,0.000010
1972,0.000000,0.000013
1973,0.000000,0.000008
1974,0.000000,0.000008
1975,0.000000,0.000010
1976,0.000000,0.000009
1977,0.000000,0.000009
1978,0.000000,0.000011
1979,0.000000,0.000012
1980,0.000000,0.000008
1981,0.000000,0.000011
1982,0.000000,0.000015
1983,0.000000,0.000009
1984,0.000000,0.000009
1985,0.000000,0.000011
1986,0.000000,0.000009
1987,0.000000,0.000006
1988,0.000000,0.000008
1989,0.000000,0.000007
1990,0.000000,0.000012
1991,0.000000,0.000010
1992,0.000000,0.000010
1993,0.000000,0.000011
1994,0.000000,0.000013
1995,0.000000,0.000011
1996,0.000000,0.000010
1997,0.000000,0.000012
1998,0.000000,0.000014
1999,0.000000,0.000012
2000,0.000000,0.000020
2001,0.000000,0.000017
2002,0.000000,0.000015
2003,0.000000,0.000018
2004,0.000000,0.000020
2005,0.000000,0.000039
2006,0.000000,0.000055
2007,0.000000,0.000080
2008,0.000000,0.000084
2009,0.000000,0.000155
2010,0.000000,0.000190
2011,0.000000,0.000199
2012,0.000000,0.000393
