year,Kirby (F),Kirby (M)
1880,0.000000,0.000000
1881,0.000000,0.000026
1882,0.000000,0.000027
1883,0.000000,0.000037
1884,0.000000,0.000000
1885,0.000000,0.000058
1886,0.000000,0.000039
1887,0.000000,0.000028
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000040
1891,0.000000,0.000024
1892,0.000000,0.000030
1893,0.000000,0.000028
1894,0.000000,0.000024
1895,0.000000,0.000023
1896,0.000000,0.000028
1897,0.000000,0.000037
1898,0.000000,0.000024
1899,0.000000,0.000021
1900,0.000000,0.000029
1901,0.000000,0.000023
1902,0.000000,0.000021
1903,0.000000,0.000013
1904,0.000000,0.000017
1905,0.000000,0.000019
1906,0.000000,0.000012
1907,0.000000,0.000026
1908,0.000000,0.000018
1909,0.000000,0.000025
1910,0.000000,0.000022
1911,0.000000,0.000028
1912,0.000000,0.000025
1913,0.000000,0.000026
1914,0.000000,0.000027
1915,0.000000,0.000032
1916,0.000000,0.000028
1917,0.000004,0.000029
1918,0.000000,0.000024
1919,0.000000,0.000026
1920,0.000000,0.000027
1921,0.000000,0.000025
1922,0.000000,0.000027
1923,0.000003,0.000026
1924,0.000000,0.000030
1925,0.000002,0.000021
1926,0.000000,0.000034
1927,0.000000,0.000023
1928,0.000000,0.000026
1929,0.000000,0.000032
1930,0.000000,0.000030
1931,0.000000,0.000024
1932,0.000003,0.000030
1933,0.000005,0.000030
1934,0.000000,0.000036
1935,0.000000,0.000033
1936,0.000000,0.000039
1937,0.000000,0.000046
1938,0.000000,0.000033
1939,0.000000,0.000044
1940,0.000005,0.000044
1941,0.000002,0.000049
1942,0.000002,0.000050
1943,0.000003,0.000049
1944,0.000003,0.000041
1945,0.000003,0.000040
1946,0.000006,0.000060
1947,0.000004,0.000058
1948,0.000003,0.000058
1949,0.000003,0.000057
1950,0.000003,0.000065
1951,0.000001,0.000067
1952,0.000004,0.000070
1953,0.000003,0.000075
1954,0.000002,0.000082
1955,0.000001,0.000068
1956,0.000002,0.000083
1957,0.000005,0.000085
1958,0.000004,0.000083
1959,0.000006,0.000083
1960,0.000003,0.000083
1961,0.000003,0.000070
1962,0.000003,0.000068
1963,0.000003,0.000064
1964,0.000003,0.000059
1965,0.000003,0.000059
1966,0.000003,0.000054
1967,0.000004,0.000057
1968,0.000001,0.000057
1969,0.000002,0.000050
1970,0.000002,0.000041
1971,0.000003,0.000084
1972,0.000005,0.000085
1973,0.000003,0.000050
1974,0.000002,0.000048
1975,0.000002,0.000048
1976,0.000002,0.000039
1977,0.000003,0.000041
1978,0.000003,0.000028
1979,0.000000,0.000032
1980,0.000002,0.000030
1981,0.000002,0.000032
1982,0.000002,0.000022
1983,0.000067,0.000042
1984,0.000105,0.000041
1985,0.000063,0.000036
1986,0.000045,0.000037
1987,0.000042,0.000032
1988,0.000041,0.000050
1989,0.000040,0.000051
1990,0.000041,0.000042
1991,0.000037,0.000045
1992,0.000039,0.000051
1993,0.000038,0.000046
1994,0.000031,0.000037
1995,0.000026,0.000035
1996,0.000032,0.000036
1997,0.000018,0.000032
1998,0.000019,0.000027
1999,0.000015,0.000023
2000,0.000013,0.000019
2001,0.000011,0.000022
2002,0.000007,0.000017
2003,0.000007,0.000014
2004,0.000006,0.000016
2005,0.000006,0.000013
2006,0.000006,0.000013
2007,0.000005,0.000016
2008,0.000004,0.000012
2009,0.000007,0.000012
2010,0.000006,0.000014
2011,0.000007,0.000014
2012,0.000008,0.000013
2013,0.000007,0.000012
2014,0.000008,0.000011
2015,0.000008,0.000015
2016,0.000008,0.000012
2017,0.000009,0.000013
2018,0.000013,0.000015
2019,0.000010,0.000012
2020,0.000012,0.000015
