year,Katherin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,5
1910,0
1911,0
1912,0
1913,0
1914,14
1915,8
1916,8
1917,10
1918,9
1919,16
1920,11
1921,12
1922,15
1923,10
1924,8
1925,17
1926,15
1927,13
1928,7
1929,10
1930,10
1931,8
1932,9
1933,10
1934,7
1935,14
1936,10
1937,7
1938,8
1939,19
1940,6
1941,8
1942,19
1943,15
1944,9
1945,15
1946,15
1947,13
1948,11
1949,22
1950,28
1951,14
1952,19
1953,30
1954,25
1955,29
1956,28
1957,24
1958,24
1959,16
1960,25
1961,20
1962,20
1963,26
1964,21
1965,17
1966,17
1967,29
1968,23
1969,19
1970,20
1971,19
1972,24
1973,23
1974,18
1975,22
1976,24
1977,20
1978,29
1979,34
1980,21
1981,33
1982,37
1983,34
1984,26
1985,33
1986,37
1987,36
1988,43
1989,277
1990,55
1991,42
1992,60
1993,47
1994,55
1995,44
1996,38
1997,42
1998,60
1999,52
2000,51
2001,65
2002,61
2003,63
2004,94
2005,65
2006,91
2007,69
2008,71
2009,90
2010,60
2011,71
2012,43
