year,Kymberly
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,7
1956,10
1957,16
1958,18
1959,21
1960,38
1961,15
1962,35
1963,35
1964,39
1965,51
1966,53
1967,62
1968,59
1969,72
1970,61
1971,46
1972,28
1973,49
1974,41
1975,47
1976,44
1977,42
1978,55
1979,49
1980,44
1981,77
1982,80
1983,79
1984,72
1985,81
1986,78
1987,109
1988,93
1989,103
1990,87
1991,91
1992,87
1993,75
1994,73
1995,80
1996,52
1997,44
1998,62
1999,41
2000,51
2001,46
2002,30
2003,34
2004,39
2005,34
2006,34
2007,30
2008,30
2009,30
2010,27
2011,22
2012,18
