year,Kermit (F),Kermit (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000013
1901,0.000000,0.000049
1902,0.000000,0.000041
1903,0.000000,0.000031
1904,0.000000,0.000047
1905,0.000000,0.000087
1906,0.000000,0.000091
1907,0.000000,0.000073
1908,0.000000,0.000119
1909,0.000000,0.000272
1910,0.000000,0.000230
1911,0.000000,0.000138
1912,0.000005,0.000167
1913,0.000000,0.000182
1914,0.000004,0.000283
1915,0.000000,0.000176
1916,0.000000,0.000136
1917,0.000000,0.000132
1918,0.000000,0.000188
1919,0.000000,0.000204
1920,0.000003,0.000169
1921,0.000003,0.000138
1922,0.000000,0.000135
1923,0.000000,0.000127
1924,0.000000,0.000116
1925,0.000000,0.000130
1926,0.000000,0.000135
1927,0.000000,0.000122
1928,0.000000,0.000107
1929,0.000000,0.000125
1930,0.000000,0.000126
1931,0.000000,0.000120
1932,0.000000,0.000127
1933,0.000000,0.000134
1934,0.000000,0.000130
1935,0.000000,0.000133
1936,0.000000,0.000145
1937,0.000000,0.000138
1938,0.000000,0.000135
1939,0.000000,0.000129
1940,0.000000,0.000130
1941,0.000000,0.000111
1942,0.000000,0.000108
1943,0.000002,0.000114
1944,0.000000,0.000093
1945,0.000000,0.000092
1946,0.000000,0.000076
1947,0.000000,0.000079
1948,0.000000,0.000061
1949,0.000000,0.000067
1950,0.000000,0.000067
1951,0.000000,0.000063
1952,0.000000,0.000056
1953,0.000000,0.000059
1954,0.000000,0.000055
1955,0.000000,0.000047
1956,0.000000,0.000045
1957,0.000000,0.000040
1958,0.000000,0.000037
1959,0.000000,0.000036
1960,0.000000,0.000040
1961,0.000000,0.000045
1962,0.000000,0.000042
1963,0.000000,0.000041
1964,0.000000,0.000045
1965,0.000000,0.000032
1966,0.000000,0.000032
1967,0.000000,0.000036
1968,0.000000,0.000034
1969,0.000000,0.000034
1970,0.000000,0.000033
1971,0.000000,0.000027
1972,0.000000,0.000031
1973,0.000000,0.000028
1974,0.000000,0.000023
1975,0.000000,0.000029
1976,0.000000,0.000028
1977,0.000000,0.000021
1978,0.000000,0.000024
1979,0.000000,0.000018
1980,0.000000,0.000013
1981,0.000000,0.000012
1982,0.000000,0.000011
1983,0.000000,0.000010
1984,0.000000,0.000011
1985,0.000000,0.000009
1986,0.000000,0.000005
1987,0.000000,0.000009
1988,0.000000,0.000007
1989,0.000000,0.000008
1990,0.000000,0.000004
1991,0.000000,0.000005
1992,0.000000,0.000005
1993,0.000000,0.000006
1994,0.000000,0.000005
1995,0.000000,0.000006
1996,0.000000,0.000006
1997,0.000000,0.000002
1998,0.000000,0.000003
1999,0.000000,0.000004
2000,0.000000,0.000003
2001,0.000000,0.000002
2002,0.000000,0.000003
2003,0.000000,0.000002
2004,0.000000,0.000003
2005,0.000000,0.000002
2006,0.000000,0.000003
2007,0.000000,0.000003
2008,0.000000,0.000002
2009,0.000000,0.000003
2010,0.000000,0.000002
2011,0.000000,0.000002
2012,0.000000,0.000002
2013,0.000000,0.000002
