year,Kendall (F),Kendall (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000012
1907,0.000000,0.000017
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000019
1911,0.000000,0.000014
1912,0.000000,0.000017
1913,0.000000,0.000040
1914,0.000000,0.000021
1915,0.000000,0.000025
1916,0.000000,0.000025
1917,0.000000,0.000022
1918,0.000000,0.000022
1919,0.000000,0.000027
1920,0.000000,0.000027
1921,0.000000,0.000029
1922,0.000000,0.000026
1923,0.000000,0.000021
1924,0.000000,0.000028
1925,0.000000,0.000030
1926,0.000000,0.000029
1927,0.000000,0.000035
1928,0.000000,0.000033
1929,0.000002,0.000027
1930,0.000000,0.000030
1931,0.000000,0.000026
1932,0.000000,0.000032
1933,0.000000,0.000044
1934,0.000000,0.000032
1935,0.000000,0.000039
1936,0.000000,0.000039
1937,0.000003,0.000036
1938,0.000000,0.000044
1939,0.000000,0.000051
1940,0.000002,0.000047
1941,0.000003,0.000049
1942,0.000003,0.000041
1943,0.000005,0.000045
1944,0.000003,0.000038
1945,0.000006,0.000049
1946,0.000000,0.000046
1947,0.000005,0.000042
1948,0.000003,0.000046
1949,0.000003,0.000048
1950,0.000004,0.000045
1951,0.000003,0.000039
1952,0.000003,0.000050
1953,0.000002,0.000056
1954,0.000004,0.000055
1955,0.000003,0.000057
1956,0.000008,0.000074
1957,0.000008,0.000091
1958,0.000017,0.000094
1959,0.000018,0.000099
1960,0.000026,0.000107
1961,0.000016,0.000100
1962,0.000016,0.000107
1963,0.000017,0.000118
1964,0.000031,0.000138
1965,0.000034,0.000119
1966,0.000026,0.000120
1967,0.000026,0.000117
1968,0.000026,0.000121
1969,0.000021,0.000116
1970,0.000031,0.000120
1971,0.000058,0.000125
1972,0.000036,0.000105
1973,0.000037,0.000117
1974,0.000032,0.000113
1975,0.000023,0.000099
1976,0.000024,0.000092
1977,0.000025,0.000079
1978,0.000036,0.000106
1979,0.000029,0.000107
1980,0.000055,0.000107
1981,0.000057,0.000106
1982,0.000079,0.000104
1983,0.000071,0.000103
1984,0.000135,0.000123
1985,0.000125,0.000131
1986,0.000143,0.000144
1987,0.000195,0.000150
1988,0.000155,0.000180
1989,0.000162,0.000179
1990,0.000163,0.000219
1991,0.000171,0.000216
1992,0.000194,0.000205
1993,0.000337,0.000256
1994,0.000443,0.000255
1995,0.000422,0.000197
1996,0.000403,0.000185
1997,0.000430,0.000194
1998,0.000447,0.000189
1999,0.000391,0.000170
2000,0.000437,0.000194
2001,0.000407,0.000154
2002,0.000440,0.000140
2003,0.000574,0.000130
2004,0.000618,0.000127
2005,0.000640,0.000122
2006,0.000588,0.000111
2007,0.000542,0.000120
2008,0.000588,0.000098
2009,0.000633,0.000114
2010,0.000633,0.000115
2011,0.000711,0.000111
2012,0.000720,0.000101
