year,Krisha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,8
1965,8
1966,6
1967,5
1968,6
1969,9
1970,15
1971,18
1972,17
1973,18
1974,44
1975,50
1976,32
1977,55
1978,57
1979,26
1980,37
1981,48
1982,27
1983,26
1984,24
1985,24
1986,28
1987,29
1988,22
1989,33
1990,28
1991,27
1992,21
1993,25
1994,22
1995,26
1996,24
1997,15
1998,13
1999,6
2000,11
2001,15
2002,28
2003,26
2004,40
2005,52
2006,53
2007,55
2008,53
2009,64
2010,66
2011,58
2012,84
