year,Kirt
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,6
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,6
1933,0
1934,0
1935,0
1936,6
1937,0
1938,0
1939,8
1940,8
1941,6
1942,7
1943,15
1944,9
1945,12
1946,10
1947,21
1948,26
1949,22
1950,33
1951,36
1952,42
1953,63
1954,62
1955,61
1956,74
1957,121
1958,86
1959,97
1960,111
1961,101
1962,180
1963,139
1964,140
1965,144
1966,136
1967,155
1968,143
1969,130
1970,123
1971,98
1972,110
1973,89
1974,75
1975,67
1976,52
1977,52
1978,52
1979,56
1980,53
1981,53
1982,48
1983,46
1984,32
1985,32
1986,30
1987,36
1988,28
1989,40
1990,32
1991,26
1992,19
1993,17
1994,17
1995,18
1996,14
1997,12
1998,11
1999,7
2000,8
2001,10
2002,0
2003,8
2004,0
2005,5
2006,7
2007,11
2008,6
2009,0
2010,0
2011,0
2012,0
