year,Katrice
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,6
1964,14
1965,10
1966,14
1967,24
1968,34
1969,63
1970,50
1971,65
1972,84
1973,74
1974,71
1975,51
1976,57
1977,70
1978,60
1979,96
1980,93
1981,90
1982,90
1983,74
1984,76
1985,74
1986,73
1987,88
1988,63
1989,75
1990,66
1991,59
1992,50
1993,46
1994,35
1995,24
1996,29
1997,20
1998,22
1999,21
2000,15
2001,16
2002,16
2003,15
2004,14
2005,10
2006,22
2007,10
2008,12
2009,8
2010,8
2011,11
2012,0
