year,Keiko
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,5
1923,0
1924,0
1925,5
1926,10
1927,0
1928,10
1929,11
1930,10
1931,9
1932,7
1933,7
1934,7
1935,0
1936,7
1937,7
1938,0
1939,9
1940,5
1941,13
1942,8
1943,12
1944,9
1945,8
1946,5
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,5
1959,7
1960,5
1961,0
1962,5
1963,6
1964,6
1965,8
1966,6
1967,9
1968,6
1969,8
1970,8
1971,10
1972,10
1973,11
1974,12
1975,9
1976,10
1977,9
1978,12
1979,11
1980,15
1981,20
1982,16
1983,21
1984,14
1985,11
1986,19
1987,18
1988,14
1989,21
1990,11
1991,23
1992,23
1993,22
1994,12
1995,31
1996,15
1997,11
1998,17
1999,17
2000,14
2001,15
2002,14
2003,19
2004,19
2005,16
2006,15
2007,17
2008,13
2009,12
2010,19
2011,16
2012,24
