year,Kersten
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,6
1964,14
1965,9
1966,8
1967,9
1968,15
1969,8
1970,16
1971,15
1972,16
1973,12
1974,19
1975,11
1976,13
1977,14
1978,13
1979,19
1980,15
1981,17
1982,11
1983,14
1984,9
1985,10
1986,9
1987,16
1988,19
1989,30
1990,40
1991,36
1992,37
1993,35
1994,39
1995,39
1996,44
1997,46
1998,32
1999,31
2000,44
2001,26
2002,12
2003,18
2004,18
2005,7
2006,10
2007,14
2008,0
2009,7
2010,5
2011,6
2012,0
