year,Krissy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,7
1960,8
1961,11
1962,14
1963,7
1964,17
1965,23
1966,22
1967,20
1968,24
1969,24
1970,48
1971,43
1972,43
1973,41
1974,31
1975,23
1976,29
1977,59
1978,202
1979,189
1980,149
1981,97
1982,63
1983,60
1984,60
1985,40
1986,55
1987,36
1988,35
1989,33
1990,29
1991,51
1992,39
1993,27
1994,34
1995,32
1996,28
1997,19
1998,22
1999,19
2000,26
2001,27
2002,19
2003,16
2004,15
2005,18
2006,15
2007,13
2008,16
2009,15
2010,12
2011,20
2012,17
