year,Katrena
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,6
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,8
1948,0
1949,0
1950,0
1951,5
1952,0
1953,8
1954,5
1955,0
1956,10
1957,10
1958,9
1959,16
1960,19
1961,17
1962,29
1963,18
1964,27
1965,26
1966,24
1967,29
1968,24
1969,40
1970,46
1971,45
1972,72
1973,43
1974,50
1975,54
1976,50
1977,34
1978,45
1979,44
1980,59
1981,38
1982,53
1983,28
1984,26
1985,39
1986,28
1987,37
1988,24
1989,26
1990,20
1991,16
1992,20
1993,22
1994,21
1995,14
1996,14
1997,10
1998,14
1999,13
2000,11
2001,12
2002,14
2003,8
2004,5
2005,8
2006,6
2007,7
2008,0
2009,5
2010,0
2011,0
2012,0
