year,Katherene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,9
1915,5
1916,11
1917,9
1918,11
1919,10
1920,17
1921,13
1922,19
1923,9
1924,10
1925,16
1926,12
1927,7
1928,8
1929,10
1930,5
1931,6
1932,6
1933,7
1934,5
1935,7
1936,5
1937,9
1938,0
1939,0
1940,7
1941,0
1942,9
1943,8
1944,7
1945,0
1946,5
1947,13
1948,6
1949,8
1950,11
1951,9
1952,11
1953,10
1954,10
1955,5
1956,15
1957,6
1958,9
1959,0
1960,8
1961,8
1962,8
1963,6
1964,0
1965,6
1966,5
1967,0
1968,5
1969,0
1970,0
1971,5
1972,0
1973,5
1974,0
1975,0
1976,6
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,7
1984,5
1985,0
1986,0
1987,0
1988,0
1989,0
1990,0
1991,0
1992,6
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,5
2000,0
2001,5
2002,5
2003,0
2004,6
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
