year,Kassandra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,6
1946,6
1947,6
1948,8
1949,10
1950,8
1951,5
1952,6
1953,14
1954,7
1955,11
1956,13
1957,20
1958,18
1959,17
1960,26
1961,20
1962,29
1963,32
1964,29
1965,35
1966,31
1967,36
1968,83
1969,63
1970,110
1971,96
1972,76
1973,83
1974,83
1975,61
1976,70
1977,83
1978,98
1979,108
1980,117
1981,190
1982,325
1983,298
1984,342
1985,366
1986,483
1987,456
1988,614
1989,775
1990,873
1991,888
1992,1394
1993,2739
1994,1763
1995,1612
1996,1436
1997,1398
1998,1237
1999,1202
2000,1134
2001,1046
2002,1161
2003,1016
2004,929
2005,869
2006,762
2007,644
2008,579
2009,532
2010,538
2011,463
2012,410
