year,Kelsey (F),Kelsey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000017
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000008
1911,0.000000,0.000000
1912,0.000000,0.000010
1913,0.000000,0.000010
1914,0.000000,0.000007
1915,0.000000,0.000005
1916,0.000000,0.000007
1917,0.000000,0.000005
1918,0.000000,0.000007
1919,0.000000,0.000006
1920,0.000000,0.000003
1921,0.000000,0.000006
1922,0.000000,0.000004
1923,0.000000,0.000007
1924,0.000000,0.000006
1925,0.000000,0.000008
1926,0.000000,0.000007
1927,0.000000,0.000004
1928,0.000000,0.000005
1929,0.000000,0.000005
1930,0.000000,0.000007
1931,0.000000,0.000006
1932,0.000000,0.000005
1933,0.000000,0.000005
1934,0.000000,0.000002
1935,0.000000,0.000004
1936,0.000000,0.000004
1937,0.000000,0.000007
1938,0.000000,0.000005
1939,0.000000,0.000005
1940,0.000000,0.000003
1941,0.000000,0.000005
1942,0.000002,0.000005
1943,0.000000,0.000004
1944,0.000000,0.000004
1945,0.000002,0.000005
1946,0.000002,0.000005
1947,0.000002,0.000002
1948,0.000003,0.000006
1949,0.000002,0.000007
1950,0.000003,0.000003
1951,0.000002,0.000005
1952,0.000003,0.000003
1953,0.000005,0.000004
1954,0.000004,0.000005
1955,0.000004,0.000003
1956,0.000003,0.000005
1957,0.000003,0.000005
1958,0.000006,0.000003
1959,0.000004,0.000006
1960,0.000003,0.000005
1961,0.000004,0.000003
1962,0.000005,0.000005
1963,0.000006,0.000005
1964,0.000005,0.000006
1965,0.000005,0.000005
1966,0.000005,0.000007
1967,0.000010,0.000007
1968,0.000007,0.000012
1969,0.000013,0.000011
1970,0.000014,0.000020
1971,0.000021,0.000021
1972,0.000024,0.000023
1973,0.000026,0.000024
1974,0.000029,0.000024
1975,0.000035,0.000032
1976,0.000038,0.000033
1977,0.000045,0.000026
1978,0.000052,0.000026
1979,0.000067,0.000027
1980,0.000090,0.000027
1981,0.000141,0.000029
1982,0.000225,0.000030
1983,0.000322,0.000033
1984,0.000445,0.000035
1985,0.000476,0.000034
1986,0.000708,0.000039
1987,0.001269,0.000045
1988,0.001476,0.000058
1989,0.002409,0.000065
1990,0.002404,0.000050
1991,0.002935,0.000048
1992,0.003051,0.000044
1993,0.003018,0.000043
1994,0.002624,0.000045
1995,0.002235,0.000043
1996,0.002100,0.000038
1997,0.001538,0.000027
1998,0.001510,0.000027
1999,0.001192,0.000025
2000,0.000971,0.000016
2001,0.000873,0.000019
2002,0.000771,0.000014
2003,0.000676,0.000011
2004,0.000576,0.000019
2005,0.000510,0.000010
2006,0.000480,0.000012
2007,0.000425,0.000010
2008,0.000437,0.000008
2009,0.000399,0.000006
2010,0.000366,0.000005
2011,0.000346,0.000007
2012,0.000333,0.000007
