year,Karlos
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,5
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,6
1951,0
1952,0
1953,7
1954,7
1955,0
1956,5
1957,7
1958,6
1959,7
1960,10
1961,9
1962,9
1963,10
1964,6
1965,5
1966,12
1967,10
1968,9
1969,12
1970,24
1971,20
1972,23
1973,35
1974,44
1975,34
1976,38
1977,22
1978,33
1979,38
1980,39
1981,39
1982,28
1983,23
1984,24
1985,27
1986,20
1987,25
1988,20
1989,34
1990,38
1991,29
1992,27
1993,29
1994,40
1995,26
1996,27
1997,16
1998,30
1999,30
2000,36
2001,40
2002,43
2003,43
2004,42
2005,50
2006,41
2007,43
2008,48
2009,48
2010,41
2011,47
2012,42
