year,Keitha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,9
1918,8
1919,0
1920,18
1921,11
1922,9
1923,10
1924,13
1925,12
1926,5
1927,7
1928,11
1929,11
1930,0
1931,10
1932,8
1933,12
1934,6
1935,8
1936,16
1937,10
1938,13
1939,10
1940,8
1941,15
1942,11
1943,18
1944,23
1945,10
1946,17
1947,15
1948,21
1949,32
1950,19
1951,26
1952,31
1953,15
1954,19
1955,24
1956,30
1957,27
1958,35
1959,31
1960,24
1961,24
1962,20
1963,21
1964,27
1965,14
1966,19
1967,21
1968,21
1969,63
1970,45
1971,32
1972,30
1973,28
1974,33
1975,27
1976,31
1977,25
1978,25
1979,27
1980,22
1981,27
1982,20
1983,19
1984,20
1985,21
1986,18
1987,9
1988,16
1989,10
1990,7
1991,12
1992,9
1993,0
1994,8
1995,0
1996,6
1997,0
1998,6
1999,0
2000,7
2001,5
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
