year,Kristoffer
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,5
1968,7
1969,6
1970,25
1971,42
1972,76
1973,113
1974,156
1975,109
1976,87
1977,223
1978,305
1979,140
1980,142
1981,161
1982,141
1983,126
1984,115
1985,119
1986,97
1987,99
1988,107
1989,102
1990,111
1991,114
1992,83
1993,89
1994,74
1995,77
1996,69
1997,54
1998,53
1999,48
2000,52
2001,34
2002,48
2003,37
2004,43
2005,37
2006,27
2007,42
2008,44
2009,30
2010,30
2011,31
2012,26
