year,Keysha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,6
1966,6
1967,11
1968,17
1969,30
1970,47
1971,49
1972,77
1973,79
1974,85
1975,76
1976,92
1977,62
1978,70
1979,69
1980,69
1981,45
1982,36
1983,40
1984,28
1985,20
1986,25
1987,31
1988,31
1989,25
1990,29
1991,23
1992,22
1993,32
1994,34
1995,40
1996,26
1997,27
1998,14
1999,26
2000,17
2001,16
2002,20
2003,21
2004,16
2005,20
2006,34
2007,27
2008,27
2009,25
2010,24
2011,23
2012,19
