year,Kraig
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,7
1940,6
1941,5
1942,7
1943,6
1944,12
1945,9
1946,7
1947,30
1948,21
1949,29
1950,35
1951,37
1952,43
1953,67
1954,54
1955,70
1956,80
1957,75
1958,123
1959,123
1960,161
1961,187
1962,204
1963,181
1964,184
1965,192
1966,164
1967,172
1968,212
1969,189
1970,211
1971,180
1972,152
1973,125
1974,99
1975,110
1976,93
1977,81
1978,90
1979,103
1980,89
1981,87
1982,105
1983,96
1984,109
1985,105
1986,116
1987,120
1988,133
1989,98
1990,116
1991,89
1992,94
1993,62
1994,68
1995,60
1996,64
1997,46
1998,43
1999,38
2000,29
2001,20
2002,26
2003,23
2004,22
2005,18
2006,21
2007,16
2008,11
2009,14
2010,9
2011,14
2012,13
