year,Kina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,5
1957,0
1958,11
1959,5
1960,14
1961,12
1962,24
1963,25
1964,22
1965,19
1966,33
1967,36
1968,26
1969,34
1970,31
1971,39
1972,39
1973,46
1974,46
1975,40
1976,44
1977,35
1978,39
1979,33
1980,41
1981,36
1982,32
1983,24
1984,26
1985,24
1986,13
1987,16
1988,15
1989,21
1990,17
1991,14
1992,8
1993,11
1994,10
1995,18
1996,15
1997,8
1998,16
1999,11
2000,14
2001,8
2002,10
2003,8
2004,16
2005,22
2006,35
2007,25
2008,19
2009,19
2010,15
2011,9
2012,11
