year,Kateri
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,5
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,6
1948,0
1949,5
1950,5
1951,7
1952,8
1953,5
1954,5
1955,13
1956,6
1957,13
1958,12
1959,13
1960,16
1961,17
1962,19
1963,29
1964,9
1965,20
1966,10
1967,27
1968,20
1969,13
1970,15
1971,22
1972,14
1973,22
1974,23
1975,23
1976,20
1977,26
1978,19
1979,18
1980,65
1981,37
1982,45
1983,38
1984,42
1985,45
1986,38
1987,52
1988,44
1989,36
1990,40
1991,39
1992,47
1993,43
1994,39
1995,47
1996,43
1997,55
1998,49
1999,55
2000,54
2001,51
2002,44
2003,41
2004,41
2005,46
2006,37
2007,48
2008,35
2009,29
2010,28
2011,42
2012,59
