year,Kyra
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,9
1939,8
1940,8
1941,7
1942,5
1943,12
1944,6
1945,6
1946,8
1947,18
1948,7
1949,15
1950,8
1951,15
1952,13
1953,12
1954,19
1955,34
1956,39
1957,38
1958,28
1959,45
1960,52
1961,53
1962,50
1963,65
1964,61
1965,57
1966,57
1967,91
1968,94
1969,134
1970,135
1971,115
1972,118
1973,119
1974,108
1975,114
1976,149
1977,111
1978,137
1979,134
1980,119
1981,150
1982,204
1983,210
1984,192
1985,173
1986,208
1987,243
1988,383
1989,372
1990,407
1991,458
1992,579
1993,647
1994,618
1995,675
1996,1088
1997,1444
1998,1563
1999,1470
2000,1604
2001,1531
2002,1388
2003,1459
2004,1542
2005,1918
2006,1794
2007,1758
2008,1439
2009,1198
2010,923
2011,816
2012,765
