year,Kymberlee
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,8
1963,0
1964,0
1965,0
1966,9
1967,8
1968,11
1969,8
1970,6
1971,0
1972,11
1973,11
1974,5
1975,7
1976,7
1977,7
1978,12
1979,6
1980,13
1981,17
1982,12
1983,12
1984,19
1985,14
1986,16
1987,24
1988,16
1989,29
1990,22
1991,34
1992,39
1993,30
1994,28
1995,33
1996,29
1997,30
1998,27
1999,30
2000,12
2001,24
2002,19
2003,17
2004,15
2005,22
2006,15
2007,17
2008,17
2009,16
2010,15
2011,12
2012,16
