year,Kirk (F),Kirk (M)
1880,0.000000,0.000030
1881,0.000000,0.000000
1882,0.000000,0.000045
1883,0.000000,0.000000
1884,0.000000,0.000033
1885,0.000000,0.000037
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000023
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000024
1892,0.000000,0.000036
1893,0.000000,0.000018
1894,0.000000,0.000000
1895,0.000000,0.000014
1896,0.000000,0.000000
1897,0.000000,0.000017
1898,0.000000,0.000018
1899,0.000000,0.000000
1900,0.000000,0.000011
1901,0.000000,0.000032
1902,0.000000,0.000026
1903,0.000000,0.000000
1904,0.000000,0.000022
1905,0.000000,0.000024
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000023
1910,0.000000,0.000022
1911,0.000000,0.000017
1912,0.000000,0.000018
1913,0.000000,0.000020
1914,0.000000,0.000021
1915,0.000000,0.000022
1916,0.000000,0.000020
1917,0.000000,0.000019
1918,0.000000,0.000015
1919,0.000000,0.000018
1920,0.000000,0.000016
1921,0.000000,0.000012
1922,0.000000,0.000018
1923,0.000000,0.000019
1924,0.000000,0.000021
1925,0.000000,0.000018
1926,0.000000,0.000016
1927,0.000000,0.000014
1928,0.000000,0.000017
1929,0.000000,0.000019
1930,0.000000,0.000020
1931,0.000000,0.000021
1932,0.000000,0.000016
1933,0.000000,0.000015
1934,0.000000,0.000029
1935,0.000000,0.000029
1936,0.000000,0.000026
1937,0.000000,0.000034
1938,0.000000,0.000036
1939,0.000000,0.000048
1940,0.000000,0.000057
1941,0.000000,0.000068
1942,0.000000,0.000062
1943,0.000000,0.000074
1944,0.000000,0.000082
1945,0.000000,0.000079
1946,0.000000,0.000077
1947,0.000000,0.000093
1948,0.000000,0.000098
1949,0.000000,0.000210
1950,0.000000,0.000293
1951,0.000000,0.000272
1952,0.000002,0.000295
1953,0.000000,0.000320
1954,0.000000,0.000345
1955,0.000001,0.000407
1956,0.000000,0.000461
1957,0.000002,0.000520
1958,0.000002,0.000565
1959,0.000000,0.000580
1960,0.000003,0.000589
1961,0.000001,0.000608
1962,0.000000,0.000633
1963,0.000002,0.000628
1964,0.000002,0.000574
1965,0.000002,0.000568
1966,0.000002,0.000530
1967,0.000002,0.000587
1968,0.000002,0.000595
1969,0.000003,0.000600
1970,0.000004,0.000532
1971,0.000003,0.000508
1972,0.000000,0.000429
1973,0.000000,0.000403
1974,0.000003,0.000369
1975,0.000000,0.000331
1976,0.000000,0.000293
1977,0.000002,0.000277
1978,0.000003,0.000225
1979,0.000000,0.000242
1980,0.000002,0.000229
1981,0.000000,0.000207
1982,0.000003,0.000188
1983,0.000002,0.000183
1984,0.000000,0.000198
1985,0.000000,0.000191
1986,0.000002,0.000181
1987,0.000002,0.000201
1988,0.000002,0.000217
1989,0.000000,0.000220
1990,0.000000,0.000176
1991,0.000000,0.000144
1992,0.000000,0.000134
1993,0.000002,0.000111
1994,0.000000,0.000102
1995,0.000000,0.000086
1996,0.000000,0.000083
1997,0.000000,0.000087
1998,0.000000,0.000063
1999,0.000000,0.000060
2000,0.000000,0.000050
2001,0.000000,0.000048
2002,0.000000,0.000043
2003,0.000000,0.000042
2004,0.000000,0.000037
2005,0.000000,0.000037
2006,0.000000,0.000031
2007,0.000000,0.000031
2008,0.000000,0.000024
2009,0.000000,0.000029
2010,0.000000,0.000028
2011,0.000000,0.000026
2012,0.000000,0.000027
2013,0.000000,0.000031
