year,Kevan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,5
1946,0
1947,5
1948,18
1949,20
1950,33
1951,37
1952,62
1953,60
1954,74
1955,73
1956,92
1957,68
1958,88
1959,77
1960,75
1961,62
1962,63
1963,60
1964,55
1965,51
1966,47
1967,48
1968,51
1969,45
1970,55
1971,46
1972,64
1973,48
1974,42
1975,41
1976,47
1977,62
1978,58
1979,69
1980,58
1981,52
1982,69
1983,69
1984,50
1985,85
1986,88
1987,85
1988,81
1989,85
1990,79
1991,76
1992,70
1993,62
1994,49
1995,47
1996,40
1997,44
1998,37
1999,37
2000,42
2001,35
2002,43
2003,25
2004,32
2005,24
2006,17
2007,27
2008,24
2009,20
2010,15
2011,13
2012,10
