year,Karlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,12
1933,8
1934,7
1935,15
1936,17
1937,11
1938,16
1939,14
1940,18
1941,13
1942,9
1943,20
1944,20
1945,15
1946,23
1947,25
1948,26
1949,17
1950,22
1951,22
1952,22
1953,20
1954,17
1955,17
1956,24
1957,30
1958,18
1959,30
1960,26
1961,29
1962,23
1963,37
1964,33
1965,30
1966,29
1967,24
1968,44
1969,26
1970,24
1971,35
1972,24
1973,17
1974,29
1975,23
1976,21
1977,15
1978,29
1979,15
1980,22
1981,25
1982,20
1983,24
1984,23
1985,38
1986,38
1987,32
1988,34
1989,25
1990,41
1991,48
1992,51
1993,35
1994,45
1995,45
1996,40
1997,36
1998,34
1999,29
2000,46
2001,43
2002,40
2003,25
2004,32
2005,30
2006,30
2007,27
2008,36
2009,27
2010,31
2011,25
2012,26
