year,Katheryne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,7
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,5
1901,0
1902,6
1903,6
1904,0
1905,0
1906,10
1907,0
1908,5
1909,6
1910,6
1911,11
1912,8
1913,12
1914,17
1915,19
1916,23
1917,25
1918,20
1919,19
1920,23
1921,32
1922,34
1923,15
1924,30
1925,23
1926,19
1927,18
1928,12
1929,10
1930,16
1931,9
1932,17
1933,6
1934,11
1935,5
1936,6
1937,6
1938,15
1939,12
1940,10
1941,9
1942,10
1943,14
1944,21
1945,10
1946,22
1947,10
1948,8
1949,17
1950,15
1951,22
1952,17
1953,13
1954,13
1955,18
1956,18
1957,13
1958,8
1959,17
1960,11
1961,9
1962,12
1963,17
1964,14
1965,7
1966,9
1967,5
1968,8
1969,9
1970,8
1971,7
1972,5
1973,17
1974,10
1975,6
1976,7
1977,24
1978,11
1979,12
1980,14
1981,17
1982,19
1983,13
1984,18
1985,16
1986,21
1987,25
1988,29
1989,37
1990,37
1991,44
1992,47
1993,39
1994,30
1995,25
1996,23
1997,39
1998,25
1999,30
2000,36
2001,25
2002,31
2003,38
2004,30
2005,22
2006,36
2007,32
2008,21
2009,35
2010,35
2011,23
2012,24
