year,Kallie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,5
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,5
1951,0
1952,6
1953,0
1954,0
1955,7
1956,0
1957,5
1958,11
1959,6
1960,9
1961,7
1962,9
1963,14
1964,9
1965,11
1966,0
1967,7
1968,7
1969,14
1970,14
1971,17
1972,14
1973,14
1974,18
1975,22
1976,27
1977,25
1978,28
1979,45
1980,33
1981,40
1982,67
1983,88
1984,82
1985,96
1986,138
1987,127
1988,128
1989,224
1990,201
1991,209
1992,235
1993,196
1994,187
1995,250
1996,220
1997,273
1998,305
1999,332
2000,295
2001,268
2002,254
2003,263
2004,256
2005,285
2006,326
2007,419
2008,429
2009,383
2010,422
2011,406
2012,422
