year,Kyna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,9
1952,7
1953,5
1954,15
1955,14
1956,17
1957,17
1958,15
1959,7
1960,8
1961,8
1962,11
1963,9
1964,7
1965,18
1966,0
1967,19
1968,14
1969,15
1970,16
1971,20
1972,15
1973,15
1974,24
1975,20
1976,18
1977,68
1978,43
1979,28
1980,32
1981,31
1982,23
1983,22
1984,30
1985,17
1986,35
1987,19
1988,18
1989,18
1990,18
1991,12
1992,15
1993,13
1994,12
1995,9
1996,7
1997,14
1998,8
1999,5
2000,8
2001,6
2002,6
2003,5
2004,18
2005,9
2006,13
2007,12
2008,12
2009,12
2010,6
2011,9
2012,7
