year,Kassie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,5
1920,0
1921,0
1922,0
1923,0
1924,0
1925,5
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,6
1950,5
1951,7
1952,9
1953,0
1954,8
1955,8
1956,5
1957,0
1958,6
1959,9
1960,14
1961,17
1962,6
1963,13
1964,16
1965,20
1966,13
1967,12
1968,13
1969,26
1970,28
1971,32
1972,23
1973,22
1974,28
1975,32
1976,34
1977,41
1978,63
1979,95
1980,100
1981,131
1982,202
1983,193
1984,216
1985,236
1986,250
1987,294
1988,286
1989,284
1990,277
1991,267
1992,215
1993,207
1994,182
1995,176
1996,169
1997,167
1998,193
1999,217
2000,184
2001,147
2002,135
2003,133
2004,106
2005,113
2006,120
2007,82
2008,105
2009,70
2010,90
2011,76
2012,76
