year,Kennedy (F),Kennedy (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000000
1914,0.000000,0.000006
1915,0.000000,0.000004
1916,0.000000,0.000006
1917,0.000000,0.000006
1918,0.000000,0.000004
1919,0.000000,0.000000
1920,0.000000,0.000004
1921,0.000000,0.000006
1922,0.000000,0.000005
1923,0.000000,0.000003
1924,0.000000,0.000005
1925,0.000000,0.000003
1926,0.000000,0.000003
1927,0.000000,0.000003
1928,0.000000,0.000004
1929,0.000000,0.000004
1930,0.000000,0.000009
1931,0.000000,0.000003
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000005
1935,0.000000,0.000003
1936,0.000000,0.000000
1937,0.000000,0.000003
1938,0.000000,0.000002
1939,0.000000,0.000005
1940,0.000000,0.000004
1941,0.000000,0.000000
1942,0.000000,0.000002
1943,0.000000,0.000002
1944,0.000000,0.000007
1945,0.000000,0.000003
1946,0.000000,0.000003
1947,0.000000,0.000006
1948,0.000000,0.000002
1949,0.000000,0.000004
1950,0.000000,0.000004
1951,0.000000,0.000005
1952,0.000000,0.000003
1953,0.000000,0.000005
1954,0.000000,0.000005
1955,0.000000,0.000005
1956,0.000000,0.000004
1957,0.000001,0.000006
1958,0.000000,0.000005
1959,0.000000,0.000005
1960,0.000000,0.000028
1961,0.000000,0.000043
1962,0.000000,0.000021
1963,0.000002,0.000040
1964,0.000000,0.000059
1965,0.000001,0.000034
1966,0.000000,0.000025
1967,0.000000,0.000019
1968,0.000000,0.000017
1969,0.000001,0.000009
1970,0.000000,0.000012
1971,0.000000,0.000010
1972,0.000000,0.000006
1973,0.000000,0.000006
1974,0.000000,0.000007
1975,0.000002,0.000007
1976,0.000000,0.000009
1977,0.000002,0.000007
1978,0.000003,0.000007
1979,0.000002,0.000008
1980,0.000000,0.000006
1981,0.000000,0.000008
1982,0.000003,0.000008
1983,0.000003,0.000012
1984,0.000003,0.000017
1985,0.000003,0.000014
1986,0.000005,0.000014
1987,0.000007,0.000015
1988,0.000004,0.000016
1989,0.000007,0.000020
1990,0.000010,0.000018
1991,0.000008,0.000015
1992,0.000012,0.000023
1993,0.000036,0.000022
1994,0.000127,0.000038
1995,0.000337,0.000043
1996,0.000389,0.000046
1997,0.000448,0.000051
1998,0.000451,0.000041
1999,0.000513,0.000045
2000,0.000633,0.000042
2001,0.000643,0.000049
2002,0.000672,0.000052
2003,0.000730,0.000045
2004,0.000756,0.000048
2005,0.000735,0.000045
2006,0.000735,0.000045
2007,0.000765,0.000038
2008,0.000752,0.000042
2009,0.000750,0.000039
2010,0.000767,0.000043
2011,0.000889,0.000034
2012,0.000928,0.000045
