year,Kathrine
1880,21
1881,19
1882,29
1883,22
1884,21
1885,25
1886,24
1887,23
1888,22
1889,34
1890,34
1891,18
1892,28
1893,24
1894,17
1895,21
1896,21
1897,23
1898,21
1899,22
1900,29
1901,26
1902,21
1903,22
1904,20
1905,27
1906,26
1907,27
1908,21
1909,33
1910,42
1911,41
1912,59
1913,75
1914,67
1915,89
1916,108
1917,105
1918,134
1919,117
1920,127
1921,112
1922,113
1923,121
1924,123
1925,111
1926,121
1927,116
1928,104
1929,90
1930,81
1931,85
1932,71
1933,67
1934,76
1935,78
1936,84
1937,54
1938,77
1939,85
1940,65
1941,69
1942,77
1943,98
1944,88
1945,67
1946,90
1947,128
1948,145
1949,177
1950,191
1951,218
1952,221
1953,182
1954,244
1955,264
1956,275
1957,244
1958,230
1959,221
1960,190
1961,203
1962,181
1963,180
1964,170
1965,188
1966,180
1967,169
1968,187
1969,169
1970,182
1971,174
1972,162
1973,141
1974,152
1975,156
1976,140
1977,197
1978,188
1979,216
1980,190
1981,202
1982,175
1983,225
1984,204
1985,214
1986,208
1987,233
1988,248
1989,255
1990,260
1991,235
1992,260
1993,209
1994,188
1995,189
1996,163
1997,171
1998,138
1999,136
2000,123
2001,124
2002,112
2003,119
2004,89
2005,98
2006,102
2007,86
2008,75
2009,61
2010,53
2011,46
2012,42
