year,Kimiko
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,8
1910,5
1911,0
1912,12
1913,7
1914,13
1915,16
1916,31
1917,22
1918,25
1919,25
1920,21
1921,19
1922,33
1923,37
1924,40
1925,24
1926,21
1927,18
1928,15
1929,21
1930,16
1931,11
1932,5
1933,10
1934,5
1935,6
1936,0
1937,6
1938,7
1939,0
1940,7
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,6
1958,5
1959,0
1960,8
1961,8
1962,9
1963,7
1964,16
1965,6
1966,9
1967,9
1968,13
1969,16
1970,10
1971,9
1972,13
1973,21
1974,17
1975,15
1976,13
1977,17
1978,19
1979,13
1980,38
1981,80
1982,30
1983,22
1984,15
1985,16
1986,22
1987,46
1988,34
1989,33
1990,38
1991,34
1992,16
1993,26
1994,21
1995,26
1996,22
1997,13
1998,19
1999,22
2000,24
2001,11
2002,15
2003,12
2004,20
2005,24
2006,19
2007,19
2008,23
2009,24
2010,25
2011,14
2012,17
