year,Kurt (F),Kurt (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000021
1895,0.000000,0.000000
1896,0.000000,0.000025
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000014
1906,0.000000,0.000012
1907,0.000000,0.000000
1908,0.000000,0.000012
1909,0.000000,0.000000
1910,0.000000,0.000010
1911,0.000000,0.000019
1912,0.000000,0.000018
1913,0.000000,0.000023
1914,0.000000,0.000020
1915,0.000000,0.000025
1916,0.000000,0.000014
1917,0.000000,0.000020
1918,0.000000,0.000014
1919,0.000000,0.000013
1920,0.000000,0.000016
1921,0.000000,0.000014
1922,0.000000,0.000014
1923,0.000000,0.000020
1924,0.000000,0.000017
1925,0.000000,0.000019
1926,0.000000,0.000023
1927,0.000000,0.000019
1928,0.000000,0.000027
1929,0.000000,0.000031
1930,0.000000,0.000035
1931,0.000000,0.000027
1932,0.000000,0.000030
1933,0.000000,0.000032
1934,0.000000,0.000033
1935,0.000000,0.000044
1936,0.000000,0.000051
1937,0.000000,0.000063
1938,0.000000,0.000061
1939,0.000000,0.000065
1940,0.000000,0.000084
1941,0.000000,0.000079
1942,0.000000,0.000094
1943,0.000000,0.000105
1944,0.000000,0.000109
1945,0.000000,0.000100
1946,0.000000,0.000117
1947,0.000000,0.000149
1948,0.000000,0.000151
1949,0.000000,0.000192
1950,0.000000,0.000225
1951,0.000000,0.000255
1952,0.000000,0.000386
1953,0.000000,0.000395
1954,0.000000,0.000425
1955,0.000000,0.000480
1956,0.000000,0.000578
1957,0.000000,0.000578
1958,0.000002,0.000648
1959,0.000001,0.000677
1960,0.000002,0.000694
1961,0.000000,0.000682
1962,0.000001,0.000749
1963,0.000002,0.000790
1964,0.000003,0.000812
1965,0.000003,0.000794
1966,0.000002,0.000819
1967,0.000002,0.000809
1968,0.000004,0.000726
1969,0.000004,0.000657
1970,0.000002,0.000609
1971,0.000003,0.000546
1972,0.000003,0.000504
1973,0.000003,0.000411
1974,0.000000,0.000407
1975,0.000000,0.000360
1976,0.000000,0.000336
1977,0.000000,0.000352
1978,0.000002,0.000336
1979,0.000002,0.000376
1980,0.000001,0.000372
1981,0.000003,0.000336
1982,0.000002,0.000337
1983,0.000001,0.000281
1984,0.000000,0.000279
1985,0.000002,0.000283
1986,0.000002,0.000297
1987,0.000002,0.000284
1988,0.000000,0.000282
1989,0.000001,0.000253
1990,0.000000,0.000242
1991,0.000000,0.000191
1992,0.000000,0.000180
1993,0.000000,0.000156
1994,0.000000,0.000149
1995,0.000000,0.000147
1996,0.000000,0.000132
1997,0.000000,0.000121
1998,0.000000,0.000100
1999,0.000000,0.000090
2000,0.000000,0.000083
2001,0.000000,0.000073
2002,0.000000,0.000074
2003,0.000000,0.000064
2004,0.000000,0.000060
2005,0.000000,0.000047
2006,0.000000,0.000046
2007,0.000000,0.000039
2008,0.000000,0.000035
2009,0.000000,0.000035
2010,0.000000,0.000030
2011,0.000000,0.000030
2012,0.000000,0.000030
2013,0.000000,0.000036
