year,Karie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,8
1951,11
1952,8
1953,11
1954,19
1955,14
1956,41
1957,62
1958,41
1959,80
1960,81
1961,85
1962,88
1963,103
1964,102
1965,80
1966,69
1967,149
1968,139
1969,153
1970,197
1971,172
1972,162
1973,213
1974,247
1975,293
1976,274
1977,246
1978,170
1979,169
1980,144
1981,131
1982,146
1983,143
1984,95
1985,93
1986,79
1987,116
1988,105
1989,96
1990,77
1991,57
1992,48
1993,51
1994,51
1995,37
1996,36
1997,36
1998,26
1999,27
2000,18
2001,26
2002,13
2003,18
2004,14
2005,16
2006,19
2007,18
2008,12
2009,13
2010,11
2011,5
2012,12
