year,Karolyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,6
1913,5
1914,0
1915,6
1916,6
1917,5
1918,13
1919,6
1920,9
1921,6
1922,7
1923,13
1924,14
1925,11
1926,18
1927,12
1928,13
1929,8
1930,17
1931,21
1932,25
1933,32
1934,45
1935,41
1936,42
1937,65
1938,79
1939,104
1940,107
1941,149
1942,129
1943,154
1944,133
1945,132
1946,167
1947,148
1948,122
1949,114
1950,92
1951,97
1952,97
1953,79
1954,73
1955,60
1956,64
1957,90
1958,74
1959,65
1960,70
1961,98
1962,106
1963,77
1964,92
1965,109
1966,89
1967,72
1968,72
1969,85
1970,81
1971,71
1972,63
1973,54
1974,63
1975,61
1976,70
1977,78
1978,56
1979,54
1980,39
1981,55
1982,53
1983,43
1984,40
1985,48
1986,39
1987,53
1988,45
1989,54
1990,56
1991,44
1992,63
1993,48
1994,49
1995,50
1996,37
1997,52
1998,32
1999,37
2000,32
2001,42
2002,32
2003,31
2004,40
2005,44
2006,38
2007,44
2008,28
2009,29
2010,26
2011,19
2012,25
