year,Kellyanne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,8
1962,6
1963,12
1964,13
1965,11
1966,10
1967,7
1968,10
1969,17
1970,17
1971,9
1972,14
1973,7
1974,10
1975,5
1976,12
1977,23
1978,18
1979,8
1980,15
1981,12
1982,19
1983,11
1984,9
1985,13
1986,25
1987,22
1988,17
1989,12
1990,11
1991,13
1992,9
1993,19
1994,7
1995,9
1996,15
1997,7
1998,6
1999,11
2000,7
2001,12
2002,10
2003,6
2004,0
2005,0
2006,0
2007,0
2008,7
2009,11
2010,7
2011,9
2012,5
