year,Karole
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,7
1933,0
1934,13
1935,9
1936,14
1937,18
1938,15
1939,14
1940,25
1941,32
1942,31
1943,30
1944,30
1945,35
1946,26
1947,19
1948,20
1949,27
1950,14
1951,18
1952,19
1953,11
1954,19
1955,8
1956,17
1957,23
1958,23
1959,26
1960,22
1961,32
1962,35
1963,25
1964,32
1965,31
1966,25
1967,30
1968,20
1969,13
1970,16
1971,13
1972,14
1973,10
1974,5
1975,8
1976,5
1977,0
1978,6
1979,5
1980,0
1981,5
1982,5
1983,7
1984,0
1985,7
1986,0
1987,0
1988,6
1989,5
1990,6
1991,6
1992,5
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
