year,Kellye
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,7
1956,9
1957,27
1958,54
1959,63
1960,56
1961,88
1962,84
1963,97
1964,98
1965,76
1966,76
1967,71
1968,89
1969,75
1970,78
1971,65
1972,52
1973,39
1974,42
1975,46
1976,47
1977,76
1978,50
1979,49
1980,38
1981,38
1982,52
1983,58
1984,37
1985,41
1986,102
1987,145
1988,80
1989,54
1990,47
1991,39
1992,21
1993,10
1994,17
1995,15
1996,11
1997,9
1998,6
1999,0
2000,5
2001,8
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
