year,Karla (F),Karla (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000004,0.000000
1916,0.000004,0.000000
1917,0.000003,0.000000
1918,0.000000,0.000000
1919,0.000002,0.000000
1920,0.000002,0.000000
1921,0.000000,0.000000
1922,0.000003,0.000000
1923,0.000002,0.000000
1924,0.000003,0.000000
1925,0.000004,0.000000
1926,0.000000,0.000000
1927,0.000005,0.000000
1928,0.000004,0.000000
1929,0.000005,0.000000
1930,0.000004,0.000000
1931,0.000009,0.000000
1932,0.000013,0.000000
1933,0.000016,0.000000
1934,0.000022,0.000000
1935,0.000018,0.000000
1936,0.000035,0.000000
1937,0.000038,0.000000
1938,0.000039,0.000000
1939,0.000055,0.000000
1940,0.000059,0.000000
1941,0.000061,0.000000
1942,0.000068,0.000000
1943,0.000077,0.000000
1944,0.000081,0.000000
1945,0.000120,0.000000
1946,0.000134,0.000000
1947,0.000140,0.000000
1948,0.000135,0.000000
1949,0.000138,0.000000
1950,0.000169,0.000000
1951,0.000196,0.000000
1952,0.000218,0.000000
1953,0.000244,0.000000
1954,0.000285,0.000000
1955,0.000300,0.000000
1956,0.000337,0.000000
1957,0.000364,0.000000
1958,0.000359,0.000000
1959,0.000393,0.000001
1960,0.000398,0.000001
1961,0.000452,0.000002
1962,0.000482,0.000000
1963,0.000507,0.000000
1964,0.000530,0.000002
1965,0.000498,0.000003
1966,0.000485,0.000001
1967,0.000485,0.000000
1968,0.000445,0.000000
1969,0.000442,0.000001
1970,0.000453,0.000001
1971,0.000413,0.000002
1972,0.000357,0.000000
1973,0.000368,0.000002
1974,0.000350,0.000002
1975,0.000335,0.000000
1976,0.000322,0.000002
1977,0.000315,0.000002
1978,0.000299,0.000000
1979,0.000325,0.000003
1980,0.000298,0.000002
1981,0.000285,0.000002
1982,0.000273,0.000002
1983,0.000271,0.000002
1984,0.000268,0.000002
1985,0.000252,0.000003
1986,0.000257,0.000002
1987,0.000240,0.000002
1988,0.000234,0.000002
1989,0.000251,0.000005
1990,0.000254,0.000003
1991,0.000279,0.000003
1992,0.000301,0.000002
1993,0.000317,0.000003
1994,0.000339,0.000002
1995,0.000323,0.000002
1996,0.000393,0.000001
1997,0.000405,0.000002
1998,0.000400,0.000003
1999,0.000436,0.000002
2000,0.000420,0.000001
2001,0.000454,0.000000
2002,0.000492,0.000002
2003,0.000468,0.000001
2004,0.000458,0.000002
2005,0.000446,0.000000
2006,0.000419,0.000002
2007,0.000396,0.000000
2008,0.000361,0.000000
2009,0.000292,0.000002
2010,0.000268,0.000000
2011,0.000249,0.000000
2012,0.000208,0.000000
2013,0.000177,0.000000
2014,0.000167,0.000000
2015,0.000166,0.000000
2016,0.000151,0.000000
2017,0.000155,0.000000
2018,0.000136,0.000000
2019,0.000123,0.000000
2020,0.000126,0.000000
