year,Kattie
1880,8
1881,11
1882,8
1883,10
1884,10
1885,12
1886,7
1887,14
1888,22
1889,16
1890,24
1891,14
1892,17
1893,11
1894,17
1895,22
1896,28
1897,29
1898,26
1899,10
1900,44
1901,17
1902,33
1903,26
1904,23
1905,43
1906,37
1907,33
1908,43
1909,37
1910,62
1911,45
1912,57
1913,47
1914,57
1915,61
1916,67
1917,74
1918,75
1919,84
1920,71
1921,65
1922,87
1923,81
1924,96
1925,85
1926,86
1927,80
1928,70
1929,64
1930,79
1931,62
1932,61
1933,73
1934,67
1935,73
1936,60
1937,71
1938,55
1939,50
1940,61
1941,49
1942,56
1943,57
1944,47
1945,59
1946,49
1947,40
1948,49
1949,56
1950,47
1951,43
1952,56
1953,42
1954,33
1955,42
1956,36
1957,29
1958,34
1959,28
1960,31
1961,27
1962,21
1963,13
1964,17
1965,21
1966,18
1967,16
1968,17
1969,17
1970,13
1971,21
1972,17
1973,14
1974,12
1975,11
1976,26
1977,22
1978,33
1979,38
1980,37
1981,48
1982,47
1983,56
1984,56
1985,77
1986,49
1987,77
1988,82
1989,75
1990,81
1991,57
1992,73
1993,47
1994,59
1995,52
1996,36
1997,34
1998,31
1999,28
2000,23
2001,31
2002,35
2003,36
2004,37
2005,30
2006,38
2007,27
2008,31
2009,32
2010,17
2011,25
2012,17
