year,Kristyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,9
1952,13
1953,7
1954,8
1955,9
1956,9
1957,7
1958,12
1959,13
1960,30
1961,16
1962,19
1963,28
1964,38
1965,49
1966,57
1967,50
1968,95
1969,92
1970,90
1971,119
1972,93
1973,83
1974,93
1975,98
1976,95
1977,114
1978,119
1979,143
1980,223
1981,298
1982,289
1983,247
1984,295
1985,313
1986,318
1987,307
1988,414
1989,438
1990,459
1991,377
1992,351
1993,299
1994,282
1995,277
1996,259
1997,188
1998,167
1999,130
2000,144
2001,137
2002,118
2003,96
2004,92
2005,79
2006,68
2007,68
2008,69
2009,49
2010,45
2011,38
2012,44
