year,Kathe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,13
1941,9
1942,21
1943,26
1944,46
1945,36
1946,52
1947,37
1948,53
1949,47
1950,36
1951,57
1952,48
1953,41
1954,40
1955,47
1956,55
1957,34
1958,41
1959,43
1960,38
1961,30
1962,30
1963,17
1964,17
1965,15
1966,24
1967,15
1968,11
1969,9
1970,14
1971,12
1972,0
1973,0
1974,6
1975,7
1976,0
1977,0
1978,0
1979,0
1980,0
1981,5
1982,6
1983,5
1984,0
1985,0
1986,0
1987,5
1988,0
1989,0
1990,5
1991,0
1992,6
1993,0
1994,0
1995,5
1996,0
1997,0
1998,0
1999,0
2000,0
2001,6
2002,0
2003,0
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
