year,Keneth
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,10
1915,0
1916,9
1917,12
1918,11
1919,12
1920,11
1921,12
1922,13
1923,6
1924,9
1925,8
1926,11
1927,15
1928,20
1929,20
1930,19
1931,17
1932,21
1933,14
1934,6
1935,18
1936,13
1937,12
1938,18
1939,16
1940,10
1941,12
1942,15
1943,13
1944,10
1945,15
1946,8
1947,13
1948,10
1949,16
1950,17
1951,13
1952,16
1953,15
1954,17
1955,15
1956,28
1957,15
1958,21
1959,18
1960,25
1961,16
1962,28
1963,22
1964,23
1965,26
1966,20
1967,13
1968,23
1969,19
1970,15
1971,16
1972,9
1973,6
1974,5
1975,12
1976,6
1977,8
1978,13
1979,6
1980,14
1981,12
1982,9
1983,13
1984,7
1985,7
1986,7
1987,12
1988,0
1989,7
1990,13
1991,7
1992,0
1993,7
1994,8
1995,16
1996,9
1997,13
1998,9
1999,10
2000,24
2001,13
2002,16
2003,21
2004,16
2005,27
2006,22
2007,20
2008,14
2009,24
2010,8
2011,14
2012,14
