year,Kathaleen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,5
1904,5
1905,0
1906,7
1907,0
1908,7
1909,12
1910,12
1911,9
1912,18
1913,20
1914,27
1915,45
1916,44
1917,46
1918,42
1919,50
1920,49
1921,51
1922,52
1923,58
1924,49
1925,53
1926,39
1927,52
1928,44
1929,35
1930,34
1931,37
1932,42
1933,36
1934,29
1935,36
1936,22
1937,37
1938,36
1939,39
1940,41
1941,42
1942,76
1943,67
1944,73
1945,60
1946,72
1947,86
1948,114
1949,129
1950,133
1951,103
1952,142
1953,114
1954,101
1955,104
1956,85
1957,84
1958,107
1959,77
1960,82
1961,81
1962,79
1963,60
1964,56
1965,64
1966,62
1967,40
1968,64
1969,35
1970,36
1971,37
1972,30
1973,23
1974,21
1975,21
1976,24
1977,19
1978,19
1979,17
1980,17
1981,23
1982,16
1983,10
1984,21
1985,9
1986,16
1987,12
1988,10
1989,13
1990,7
1991,9
1992,16
1993,8
1994,18
1995,11
1996,6
1997,0
1998,6
1999,8
2000,0
2001,11
2002,7
2003,0
2004,7
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,0
