year,Kenton
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,8
1913,11
1914,12
1915,15
1916,14
1917,15
1918,22
1919,24
1920,22
1921,26
1922,28
1923,16
1924,24
1925,32
1926,15
1927,22
1928,30
1929,24
1930,18
1931,47
1932,41
1933,38
1934,30
1935,41
1936,42
1937,45
1938,33
1939,46
1940,35
1941,44
1942,48
1943,69
1944,67
1945,59
1946,90
1947,91
1948,81
1949,97
1950,97
1951,133
1952,121
1953,124
1954,156
1955,145
1956,152
1957,149
1958,172
1959,157
1960,157
1961,136
1962,152
1963,174
1964,151
1965,130
1966,114
1967,121
1968,122
1969,111
1970,98
1971,116
1972,83
1973,85
1974,88
1975,91
1976,82
1977,93
1978,100
1979,98
1980,121
1981,110
1982,125
1983,146
1984,166
1985,135
1986,148
1987,147
1988,144
1989,150
1990,139
1991,152
1992,134
1993,133
1994,140
1995,156
1996,139
1997,145
1998,142
1999,132
2000,142
2001,114
2002,109
2003,133
2004,131
2005,122
2006,139
2007,124
2008,136
2009,152
2010,111
2011,136
2012,162
