year,Krystal (F),Krystal (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000005,0.000000
1947,0.000002,0.000000
1948,0.000002,0.000000
1949,0.000003,0.000000
1950,0.000002,0.000000
1951,0.000015,0.000000
1952,0.000016,0.000000
1953,0.000010,0.000000
1954,0.000009,0.000000
1955,0.000009,0.000000
1956,0.000011,0.000000
1957,0.000015,0.000000
1958,0.000020,0.000000
1959,0.000021,0.000000
1960,0.000029,0.000000
1961,0.000030,0.000000
1962,0.000033,0.000000
1963,0.000038,0.000000
1964,0.000051,0.000000
1965,0.000049,0.000000
1966,0.000050,0.000000
1967,0.000051,0.000000
1968,0.000070,0.000000
1969,0.000067,0.000000
1970,0.000094,0.000000
1971,0.000112,0.000000
1972,0.000144,0.000000
1973,0.000159,0.000000
1974,0.000156,0.000000
1975,0.000161,0.000000
1976,0.000181,0.000000
1977,0.000267,0.000000
1978,0.000338,0.000002
1979,0.000350,0.000002
1980,0.000338,0.000000
1981,0.000617,0.000000
1982,0.001000,0.000003
1983,0.001073,0.000004
1984,0.001128,0.000005
1985,0.001664,0.000008
1986,0.001386,0.000008
1987,0.001216,0.000002
1988,0.001088,0.000004
1989,0.000985,0.000006
1990,0.000833,0.000003
1991,0.000760,0.000004
1992,0.000682,0.000003
1993,0.000587,0.000000
1994,0.000509,0.000000
1995,0.000427,0.000000
1996,0.000367,0.000000
1997,0.000328,0.000000
1998,0.000297,0.000000
1999,0.000252,0.000000
2000,0.000235,0.000000
2001,0.000213,0.000000
2002,0.000199,0.000000
2003,0.000194,0.000000
2004,0.000184,0.000000
2005,0.000187,0.000000
2006,0.000153,0.000000
2007,0.000154,0.000000
2008,0.000141,0.000000
2009,0.000119,0.000000
2010,0.000106,0.000000
2011,0.000100,0.000000
2012,0.000089,0.000000
