year,Korinne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,5
1954,5
1955,0
1956,5
1957,9
1958,0
1959,6
1960,6
1961,12
1962,16
1963,11
1964,10
1965,10
1966,16
1967,8
1968,8
1969,0
1970,5
1971,8
1972,16
1973,6
1974,13
1975,11
1976,7
1977,12
1978,44
1979,27
1980,28
1981,24
1982,24
1983,14
1984,22
1985,23
1986,16
1987,27
1988,16
1989,28
1990,25
1991,39
1992,39
1993,35
1994,33
1995,29
1996,22
1997,12
1998,24
1999,26
2000,35
2001,29
2002,24
2003,27
2004,11
2005,21
2006,15
2007,36
2008,23
2009,27
2010,22
2011,19
2012,25
