year,Karma
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,6
1916,0
1917,6
1918,0
1919,11
1920,9
1921,8
1922,16
1923,8
1924,7
1925,15
1926,7
1927,9
1928,23
1929,11
1930,12
1931,21
1932,19
1933,18
1934,18
1935,13
1936,19
1937,18
1938,24
1939,23
1940,23
1941,14
1942,20
1943,24
1944,26
1945,16
1946,33
1947,21
1948,24
1949,31
1950,28
1951,15
1952,24
1953,37
1954,24
1955,31
1956,34
1957,50
1958,54
1959,47
1960,26
1961,40
1962,42
1963,40
1964,29
1965,35
1966,31
1967,30
1968,33
1969,30
1970,66
1971,77
1972,66
1973,77
1974,71
1975,47
1976,48
1977,47
1978,39
1979,40
1980,31
1981,34
1982,18
1983,40
1984,26
1985,15
1986,14
1987,13
1988,14
1989,15
1990,8
1991,0
1992,15
1993,15
1994,23
1995,12
1996,10
1997,30
1998,33
1999,40
2000,56
2001,71
2002,66
2003,58
2004,101
2005,298
2006,322
2007,330
2008,343
2009,385
2010,306
2011,265
2012,303
