year,Kile
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,5
1921,0
1922,5
1923,0
1924,0
1925,0
1926,0
1927,5
1928,0
1929,0
1930,0
1931,0
1932,0
1933,5
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,6
1953,0
1954,0
1955,0
1956,0
1957,0
1958,5
1959,5
1960,0
1961,6
1962,8
1963,6
1964,0
1965,8
1966,8
1967,7
1968,10
1969,10
1970,5
1971,9
1972,17
1973,11
1974,11
1975,6
1976,10
1977,6
1978,6
1979,9
1980,16
1981,13
1982,18
1983,23
1984,27
1985,25
1986,25
1987,34
1988,28
1989,34
1990,33
1991,39
1992,26
1993,32
1994,37
1995,27
1996,42
1997,39
1998,30
1999,25
2000,40
2001,20
2002,40
2003,34
2004,19
2005,23
2006,17
2007,18
2008,15
2009,13
2010,12
2011,9
2012,9
