year,Konrad
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,6
1914,0
1915,5
1916,5
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,5
1926,5
1927,8
1928,5
1929,9
1930,9
1931,11
1932,12
1933,11
1934,12
1935,10
1936,9
1937,16
1938,9
1939,5
1940,8
1941,12
1942,13
1943,15
1944,10
1945,15
1946,12
1947,15
1948,15
1949,7
1950,21
1951,20
1952,22
1953,21
1954,27
1955,36
1956,29
1957,27
1958,30
1959,30
1960,28
1961,36
1962,25
1963,28
1964,30
1965,25
1966,30
1967,25
1968,19
1969,28
1970,27
1971,34
1972,20
1973,27
1974,21
1975,23
1976,21
1977,16
1978,22
1979,27
1980,25
1981,21
1982,36
1983,28
1984,31
1985,35
1986,34
1987,34
1988,52
1989,49
1990,41
1991,48
1992,57
1993,46
1994,60
1995,64
1996,77
1997,63
1998,65
1999,83
2000,77
2001,82
2002,66
2003,82
2004,84
2005,80
2006,75
2007,81
2008,76
2009,90
2010,94
2011,68
2012,85
