year,Kathlene
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,5
1915,10
1916,10
1917,8
1918,12
1919,9
1920,10
1921,18
1922,15
1923,15
1924,11
1925,13
1926,16
1927,12
1928,10
1929,10
1930,15
1931,15
1932,16
1933,13
1934,19
1935,22
1936,22
1937,22
1938,17
1939,18
1940,20
1941,28
1942,27
1943,42
1944,43
1945,54
1946,43
1947,69
1948,78
1949,86
1950,120
1951,92
1952,96
1953,91
1954,70
1955,80
1956,78
1957,86
1958,86
1959,76
1960,70
1961,79
1962,74
1963,85
1964,80
1965,70
1966,72
1967,74
1968,68
1969,68
1970,54
1971,61
1972,70
1973,29
1974,37
1975,33
1976,33
1977,38
1978,31
1979,41
1980,35
1981,34
1982,34
1983,44
1984,29
1985,29
1986,25
1987,23
1988,30
1989,32
1990,21
1991,27
1992,23
1993,26
1994,18
1995,17
1996,15
1997,23
1998,16
1999,11
2000,15
2001,10
2002,9
2003,9
2004,11
2005,8
2006,5
2007,6
2008,0
2009,5
2010,0
2011,0
2012,0
