year,Keila
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,8
1957,6
1958,7
1959,13
1960,16
1961,20
1962,15
1963,13
1964,8
1965,7
1966,10
1967,27
1968,27
1969,15
1970,25
1971,23
1972,27
1973,27
1974,37
1975,30
1976,47
1977,58
1978,43
1979,71
1980,46
1981,53
1982,63
1983,61
1984,72
1985,69
1986,64
1987,85
1988,114
1989,118
1990,141
1991,155
1992,157
1993,116
1994,154
1995,161
1996,162
1997,159
1998,179
1999,192
2000,183
2001,217
2002,218
2003,210
2004,219
2005,231
2006,238
2007,230
2008,238
2009,225
2010,187
2011,192
2012,171
