year,Kieran (F),Kieran (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000004
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000003
1922,0.000000,0.000000
1923,0.000000,0.000002
1924,0.000000,0.000002
1925,0.000000,0.000000
1926,0.000000,0.000003
1927,0.000000,0.000000
1928,0.000000,0.000002
1929,0.000000,0.000004
1930,0.000000,0.000000
1931,0.000000,0.000004
1932,0.000000,0.000002
1933,0.000000,0.000000
1934,0.000000,0.000004
1935,0.000000,0.000002
1936,0.000000,0.000002
1937,0.000000,0.000000
1938,0.000000,0.000004
1939,0.000000,0.000003
1940,0.000000,0.000003
1941,0.000000,0.000002
1942,0.000000,0.000003
1943,0.000000,0.000000
1944,0.000000,0.000004
1945,0.000000,0.000002
1946,0.000000,0.000005
1947,0.000000,0.000003
1948,0.000000,0.000003
1949,0.000001,0.000003
1950,0.000000,0.000005
1951,0.000000,0.000003
1952,0.000001,0.000005
1953,0.000000,0.000005
1954,0.000000,0.000003
1955,0.000000,0.000006
1956,0.000000,0.000005
1957,0.000000,0.000006
1958,0.000000,0.000008
1959,0.000001,0.000008
1960,0.000001,0.000009
1961,0.000000,0.000009
1962,0.000000,0.000008
1963,0.000002,0.000008
1964,0.000002,0.000010
1965,0.000003,0.000013
1966,0.000000,0.000011
1967,0.000002,0.000012
1968,0.000001,0.000010
1969,0.000002,0.000009
1970,0.000002,0.000012
1971,0.000003,0.000016
1972,0.000002,0.000009
1973,0.000002,0.000013
1974,0.000005,0.000012
1975,0.000000,0.000014
1976,0.000000,0.000012
1977,0.000002,0.000014
1978,0.000002,0.000016
1979,0.000002,0.000015
1980,0.000003,0.000012
1981,0.000002,0.000014
1982,0.000005,0.000017
1983,0.000004,0.000014
1984,0.000004,0.000021
1985,0.000004,0.000018
1986,0.000003,0.000017
1987,0.000003,0.000017
1988,0.000003,0.000017
1989,0.000002,0.000022
1990,0.000003,0.000028
1991,0.000004,0.000027
1992,0.000004,0.000032
1993,0.000006,0.000051
1994,0.000008,0.000062
1995,0.000009,0.000072
1996,0.000012,0.000076
1997,0.000010,0.000071
1998,0.000016,0.000079
1999,0.000016,0.000086
2000,0.000014,0.000110
2001,0.000015,0.000110
2002,0.000015,0.000107
2003,0.000014,0.000113
2004,0.000015,0.000111
2005,0.000015,0.000106
2006,0.000014,0.000113
2007,0.000019,0.000113
2008,0.000017,0.000128
2009,0.000017,0.000138
2010,0.000014,0.000127
2011,0.000014,0.000154
2012,0.000010,0.000129
